Nome do item,Origem / mídia da sessão,Sessões,Itens vistos,Itens adicionados ao carrinho,Itens comprados,Receita do item
BODY TRICOLINE - CV261444.1 (BRANCO (Bright White TC) (11-0601), P),INSTAGRAM / LINKTREE,1,0,1,0,0
BODY TRICOLINE - CV261444.1 (BRANCO (Bright White TC) (11-0601), P),facebook / cpc02_aberto_top/estados_all,1,0,1,0,0
BODY TRICOLINE - CV261444.1 (BRANCO (Bright White TC) (11-0601), P),facebook / cpc03_interesses_top/estados_all,1,0,1,0,0
BODY TRICOLINE - CV261444.1 (BRANCO (Bright White TC) (11-0601), P),google / organic,1,0,1,0,0
BODY TRICOLINE - CV261444.1 (MARROM (Brunette TC) (19-1235), M),INSTAGRAM / LINKTREE,1,0,0,0,0
BODY TRICOLINE - CV261444.1 (MARROM (Brunette TC) (19-1235), M),facebook / cpc02_aberto_top/estados_all,1,0,1,0,0
BODY TRICOLINE - CV261444.1 (MARROM (Brunette TC) (19-1235), P),facebook / cpc02_aberto_top/estados_all,1,0,1,0,0
CALÇA ACETINADA - CI250865,(direct) / (none),1,0,0,0,0
CALÇA ACETINADA - CI250865,INSTAGRAM / LINKTREE,1,0,0,0,0
CALÇA ACETINADA - CI250865,ecosia.org / organic,1,0,0,0,0
CALÇA ACETINADA - CI250865,l.facebook.com / referral,1,0,0,0,0
CALÇA ACETINADA - CI250865 (AZUL (Mazarine Blue TC) (19-3864), M),facebook / cpc01_adv,1,0,1,0,0
CALÇA ACETINADA - CI250865 (Preto (Raven TC) (19-0000), M),facebook / cpc01_adv,1,0,2,0,0
CALÇA ACETINADA - CI250865 (Raspberry Rose TC (18-2333), G),(not set),1,0,0,0,0
CALÇA ACETINADA - CI250865 (Raspberry Rose TC (18-2333), G),IGShopping / Social,1,0,0,0,0
CALÇA ACETINADA - CI250865 (Raspberry Rose TC (18-2333), G),br.search.yahoo.com / referral,1,0,0,0,0
CALÇA ACETINADA - CI250865 (Raspberry Rose TC (18-2333), G),ecosia.org / organic,1,0,0,0,0
CALÇA ACETINADA - CI250865 (Raspberry Rose TC (18-2333), G),facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,1,0,0,0,0
CALÇA ACETINADA - CI250865 (Raspberry Rose TC (18-2333), G),facebook / cpc1_advantage+sugestões_all,1,0,0,0,0
CALÇA ACETINADA - CI250865 (Raspberry Rose TC (18-2333), G),nuvem-app / referral,1,0,0,0,0
CALÇA ACETINADA - CI250865 (Raspberry Rose TC (18-2333), M),facebook / cpc01_adv,1,0,1,0,0
CALÇA ACETINADA - CI250865 (Raspberry Rose TC (18-2333), P),(direct) / (none),1,0,1,0,0
CALÇA ACETINADA - CI250865 (Raspberry Rose TC (18-2333), P),facebook / cpc01_adv,1,0,1,0,0
CALÇA ACETINADA - CI250865 (Raspberry Rose TC (18-2333), P),facebook / cpc03_interesses_top/estados_all,1,0,1,0,0
CALÇA ACETINADA - CI250865 (Raspberry Rose TC (18-2333), P),google / cpc,1,0,1,0,0
CALÇA ACETINADA - CI250865 (Raspberry Rose TC (18-2333), P),google / organic,1,0,1,0,0
CALÇA ALFAIATARIA (CAI251071) - CAI251215.2,facebook / cpc01_adv,1,0,0,0,0
CALÇA ALFAIATARIA (CAI251071) - CAI251215.2,facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
CALÇA ALFAIATARIA (CAI251071) - CAI251215.2,google / cpc,1,0,0,0,0
CALÇA ALFAIATARIA (CAI251071) - CAI251215.2,google / organic,1,0,0,0,0
CALÇA ALFAIATARIA (CAI251071) - CAI251215.2 (BEGE(Sandshell TC) (13-0907), G),edrone / email,1,1,0,0,0
CALÇA ALFAIATARIA (CAI251071) - CAI251215.2 (BEGE(Sandshell TC) (13-0907), G),facebook / cpc01_adv,1,1,0,0,0
CALÇA ALFAIATARIA (CAI251071) - CAI251215.2 (BEGE(Sandshell TC) (13-0907), G),facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
CALÇA ALFAIATARIA (CAI251071) - CAI251215.2 (BEGE(Sandshell TC) (13-0907), G),facebook / cpc03_interesses_top/estados_all,1,1,0,0,0
CALÇA ALFAIATARIA (CAI251210) - CAI251209.2,INSTAGRAM / LINKTREE,1,0,0,0,0
CALÇA ALFAIATARIA (CAI251210) - CAI251209.2 (BEGE (Vanilla TC) (12-0712), G),INSTAGRAM / LINKTREE,1,1,0,0,0
CALÇA ALFAIATARIA (CAI251210) - CAI251209.2 (BEGE (Vanilla TC) (12-0712), G),edrone / email,1,1,0,0,0
CALÇA ALFAIATARIA (CAI251210) - CAI251209.2 (BEGE (Vanilla TC) (12-0712), G),facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
CALÇA ALFAIATARIA (CV261280) - CV261279.2,facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
CALÇA ALFAIATARIA (CV261280) - CV261279.2,facebook / cpc02_aberto_top/estados_all,1,0,0,0,0
CALÇA ALFAIATARIA (CV261280) - CV261279.2,google / organic,1,0,0,0,0
CALÇA ALFAIATARIA (CV261280) - CV261279.2 (LAVANDA BRILHO (Lavender Lustre TC) (16-3920), PP),(direct) / (none),1,0,1,0,0
CALÇA ALFAIATARIA (CV261280) - CV261279.2 (Sunset Gold TC (13-0940), G),facebook / cpc01_adv+aberto_best_sellers+profundidade,1,1,0,0,0
CALÇA ALFAIATARIA (CV261280) - CV261279.2 (Sunset Gold TC (13-0940), G),facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
CALÇA ALFAIATARIA (CV261389) - CV261338.2,(data not available),1,0,0,0,0
CALÇA ALFAIATARIA (CV261389) - CV261338.2,INSTAGRAM / LINKTREE,1,0,0,0,0
CALÇA ALFAIATARIA (CV261389) - CV261338.2,facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,1,0,0,0,0
CALÇA ALFAIATARIA (CV261389) - CV261338.2 (AZUL (Celestial Blue TC) (14-4210), M),(direct) / (none),1,0,0,0,0
CALÇA ALFAIATARIA (CV261389) - CV261338.2 (Bege concha de areia(Sandshell TC) (13-0907), G),(data not available),1,1,0,0,0
CALÇA ALFAIATARIA (CV261389) - CV261338.2 (Bege concha de areia(Sandshell TC) (13-0907), G),bing / organic,1,1,0,0,0
CALÇA ALFAIATARIA (CV261389) - CV261338.2 (Bege concha de areia(Sandshell TC) (13-0907), G),facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,1,1,0,0,0
CALÇA ALFAIATARIA (CV261389) - CV261338.2 (Preto (Raven TC) (19-0000), P),facebook / cpc01_adv,1,0,1,0,0
CALÇA ALFAIATARIA - CAI251106,(direct) / (none),1,0,0,0,0
CALÇA ALFAIATARIA - CAI251106,INSTAGRAM / LINKTREE,1,0,0,0,0
CALÇA ALFAIATARIA - CAI251106 (MARROM (Cuban Sand TC) (15-1314), G),(data not available),1,0,0,0,0
CALÇA ALFAIATARIA - CAI251106 (MARROM (Cuban Sand TC) (15-1314), G),bing / organic,1,1,0,0,0
CALÇA ALFAIATARIA - CAI251106 (MARROM (Cuban Sand TC) (15-1314), G),br.search.yahoo.com / referral,1,0,0,0,0
CALÇA ALFAIATARIA - CAI251106 (MARROM (Cuban Sand TC) (15-1314), G),carlotacostab2c.lojavirtualnuvem.com.br / referral,1,0,0,0,0
CALÇA ALFAIATARIA - CAI251106 (MARROM (Cuban Sand TC) (15-1314), G),facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
CALÇA ALFAIATARIA - CAI251106 (MARROM (Cuban Sand TC) (15-1314), G),facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
CALÇA ALFAIATARIA - CAI251106 (MARROM (Ginger Bread TC) (18-1244), PP),(direct) / (none),1,0,1,0,0
CALÇA ALFAIATARIA - CAI251106 (MARROM (Ginger Bread TC) (18-1244), PP),google / cpc,1,0,1,0,0
CALÇA ALFAIATARIA - CI251000,(data not available),1,0,0,0,0
CALÇA ALFAIATARIA - CI251000,edrone / email,1,0,0,0,0
CALÇA ALFAIATARIA - CI251000,facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
CALÇA ALFAIATARIA - CI251000,facebook / cpc02_aberto_top/estados_all,1,0,0,0,0
CALÇA ALFAIATARIA - CI251000,l.facebook.com / referral,1,0,0,0,0
CALÇA ALFAIATARIA - CI251000 (BEGE(Sandshell TC) (13-0907), G),facebook / cpc01_adv+aberto_best_sellers+profundidade,1,2,0,0,0
CALÇA ALFAIATARIA - CI251000 (BEGE(Sandshell TC) (13-0907), G),facebook / cpc02_aberto_top/estados_all,1,1,0,0,0
CALÇA ALFAIATARIA - CI251000 (BEGE(Sandshell TC) (13-0907), G),l.facebook.com / referral,1,1,0,0,0
CALÇA ALFAIATARIA - CI251000 (VERDE (Avocado TC) (18-0430), GG),(direct) / (none),1,0,1,0,0
CALÇA ALFAIATARIA - CI251000 (VERDE (Avocado TC) (18-0430), GG),facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,1,0,0
CALÇA ALFAIATARIA - CI251000 (VERDE (Avocado TC) (18-0430), GG),facebook / cpc02_aberto_top/estados_all,1,0,0,0,0
CALÇA ALFAIATARIA - CI251000 (VERDE (Avocado TC) (18-0430), GG),google / organic,1,0,1,0,0
CALÇA ALFAIATARIA - CI261864,(data not available),1,0,0,0,0
CALÇA ALFAIATARIA - CI261864,INSTAGRAM / LINKTREE,1,0,0,0,0
CALÇA ALFAIATARIA - CI261864,edrone / email,1,0,0,0,0
CALÇA ALFAIATARIA - CI261864 (MARROM (Meerkat (16-1438), G),(data not available),1,1,0,0,0
CALÇA ALFAIATARIA - CI261864 (MARROM (Meerkat (16-1438), G),facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
CALÇA ALFAIATARIA - CI261864 (MARROM (Meerkat (16-1438), G),facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,1,0,0,0,0
CALÇA ALFAIATARIA - CSI250607,l.facebook.com / referral,1,0,0,0,0
CALÇA ALFAIATARIA - CSI250607 (BEGE (Bleached Sand TC) (13-1008), G),177.72.24.74:1095 / referral,1,0,0,0,0
CALÇA ALFAIATARIA - CSI250607 (BEGE (Bleached Sand TC) (13-1008), G),control.edrone.me / referral,1,0,0,0,0
CALÇA ALFAIATARIA - CSI250607 (BEGE (Bleached Sand TC) (13-1008), G),ecosia.org / organic,1,0,0,0,0
CALÇA ALFAIATARIA - CSI250607 (BEGE (Bleached Sand TC) (13-1008), G),facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,1,0,0,0,0
CALÇA ALFAIATARIA - CSI250607 (BEGE (Bleached Sand TC) (13-1008), G),stats.tiendanube.com / referral,1,0,0,0,0
CALÇA ALFAIATARIA - CSI250607 (MARROM (Burnt Brick TC) (18-1350), M),(direct) / (none),1,0,1,0,0
CALÇA ALFAIATARIA - CSI250607 (MARROM (Burnt Brick TC) (18-1350), M),INSTAGRAM / LINKTREE,1,0,1,0,0
CALÇA ALFAIATARIA - CSI250607 (MARROM (Burnt Brick TC) (18-1350), P),(direct) / (none),1,0,1,0,0
CALÇA ALFAIATARIA - CSI250607 (MARROM (Burnt Brick TC) (18-1350), P),INSTAGRAM / LINKTREE,1,0,1,0,0
CALÇA ALFAIATARIA - CSI250607 (MARROM (Burnt Brick TC) (18-1350), P),facebook / cpc01_adv,1,0,0,1,136.540002
CALÇA ALFAIATARIA - CSI250607 (MARROM (Burnt Brick TC) (18-1350), P),facebook / cpc03_interesses_top/estados_all,1,0,1,1,114.980003
CALÇA ALFAIATARIA - CSI250750,INSTAGRAM / LINKTREE,1,0,0,0,0
CALÇA ALFAIATARIA - CSI250750,facebook / cpc01_adv aberto_best_sellers profundidade,1,0,0,0,0
CALÇA ALFAIATARIA - CSI250750,facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
CALÇA ALFAIATARIA - CSI250750,google / organic,1,0,0,0,0
CALÇA ALFAIATARIA - CSI250750,l.facebook.com / referral,1,0,0,0,0
CALÇA ALFAIATARIA - CSI250750 (AZUL (Chicory TC) (16-4013), GG),facebook / cpc01_adv aberto_best_sellers profundidade,1,0,1,0,0
CALÇA ALFAIATARIA - CSI250750 (AZUL (Chicory TC) (16-4013), GG),facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,1,0,0
CALÇA ALFAIATARIA - CSI250750 (AZUL (Chicory TC) (16-4013), GG),l.facebook.com / referral,1,0,1,0,0
CALÇA ALFAIATARIA - CSI250750 (AZUL (Chicory TC) (16-4013), P),(direct) / (none),1,0,1,0,0
CALÇA ALFAIATARIA - CSI250750 (AZUL (Chicory TC) (16-4013), P),INSTAGRAM / LINKTREE,1,0,1,0,0
CALÇA ALFAIATARIA - CSI250750 (AZUL (Chicory TC) (16-4013), P),facebook / cpc02_aberto_top/estados_all,1,0,1,0,0
CALÇA ALFAIATARIA - CSI250750 (Lima Bean TC (13-0333), G),edrone / email,1,0,0,0,0
CALÇA ALFAIATARIA - CSI250750 (Lima Bean TC (13-0333), G),facebook / cpc01_adv aberto_best_sellers profundidade,1,1,0,0,0
CALÇA ALFAIATARIA - CSI250750 (Lima Bean TC (13-0333), G),facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,1,0,0,0,0
CALÇA ALFAIATARIA - CSI250750 (Lima Bean TC (13-0333), G),l.facebook.com / referral,1,1,0,0,0
CALÇA ALFAIATARIA - CSI250797,edrone / email,1,0,0,0,0
CALÇA ALFAIATARIA - CSI250797,facebook / cpc01_adv,1,0,0,0,0
CALÇA ALFAIATARIA - CSI250797,ig / social,1,0,0,0,0
CALÇA ALFAIATARIA - CSI250797 (Preto (Raven TC) (19-0000), GG),google / organic,1,0,1,0,0
CALÇA ALFAIATARIA - CSI250797 (Preto (Raven TC) (19-0000), P),(direct) / (none),1,0,1,0,0
CALÇA ALFAIATARIA - CSI250797 (VERDE (Avocado TC) (18-0430), G),(data not available),1,0,0,0,0
CALÇA ALFAIATARIA - CSI250797 (VERDE (Avocado TC) (18-0430), G),INSTAGRAM / LINKTREE,1,0,0,0,0
CALÇA ALFAIATARIA - CSI250797 (VERDE (Avocado TC) (18-0430), G),ig / social,1,1,0,0,0
CALÇA ALFAIATARIA - CSV261189.2,(direct) / (none),1,0,0,0,0
CALÇA ALFAIATARIA - CSV261189.2,facebook / cpc01_adv aberto_best_sellers profundidade,1,0,0,0,0
CALÇA ALFAIATARIA - CSV261189.2,facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
CALÇA ALFAIATARIA - CSV261189.2 (Indian Tan TC (17-1328), G),facebook / cpc01_adv aberto_best_sellers profundidade,1,1,0,0,0
CALÇA ALFAIATARIA - CSV261189.2 (Indian Tan TC (17-1328), G),facebook / cpc01_adv+aberto_best_sellers+profundidade,1,1,0,0,0
CALÇA ALFAIATARIA - CSV261189.2 (Indian Tan TC (17-1328), GG),facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,1,0,0
CALÇA ALFAIATARIA - CV250406,INSTAGRAM / LINKTREE,1,0,0,0,0
CALÇA ALFAIATARIA - CV250406,facebook / cpc01_adv,1,0,0,0,0
CALÇA ALFAIATARIA - CV250406,facebook / cpc02_aberto_top/estados_all,1,0,0,0,0
CALÇA ALFAIATARIA - CV250406,facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
CALÇA ALFAIATARIA - CV250406 (Branco de Neve (off white) (11-0602), G),(data not available),1,0,0,0,0
CALÇA ALFAIATARIA - CV250406 (Branco de Neve (off white) (11-0602), G),edrone / email,1,0,0,0,0
CALÇA ALFAIATARIA - CV250406 (Branco de Neve (off white) (11-0602), G),facebook / cpc01_adv,1,1,0,0,0
CALÇA ALFAIATARIA - CV250406 (Branco de Neve (off white) (11-0602), G),facebook / cpc02_aberto_top/estados_all,1,1,0,0,0
CALÇA ALFAIATARIA - CV250406 (Preto (Raven TC) (19-0000), PP),(direct) / (none),1,0,1,1,101.490001
CALÇA ALFAIATARIA - CV250406 (Preto (Raven TC) (19-0000), PP),facebook / cpc01_adv,1,0,1,0,0
CALÇA ALFAIATARIA - CV250406 (Preto (Raven TC) (19-0000), PP),google / organic,1,0,1,0,0
CALÇA ALFAIATARIA - CV261372,INSTAGRAM / LINKTREE,1,0,0,0,0
CALÇA ALFAIATARIA - CV261372,facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
CALÇA ALFAIATARIA - CV261372,facebook / cpc02_aberto_top/estados_all,1,0,0,0,0
CALÇA ALFAIATARIA - CV261372,facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
CALÇA ALFAIATARIA - CV261372 (Bege concha de areia(Sandshell TC) (13-0907), G),(data not available),1,6,0,0,0
CALÇA ALFAIATARIA - CV261372 (Bege concha de areia(Sandshell TC) (13-0907), G),INSTAGRAM / LINKTREE,1,1,0,0,0
CALÇA ALFAIATARIA - CV261372 (Bege concha de areia(Sandshell TC) (13-0907), G),bing / organic,1,0,0,0,0
CALÇA ALFAIATARIA - CV261372 (Bege concha de areia(Sandshell TC) (13-0907), G),facebook / cpc01_adv+aberto_best_sellers+profundidade,1,1,0,0,0
CALÇA ALFAIATARIA - CV261372 (Bege concha de areia(Sandshell TC) (13-0907), G),facebook / cpc02_aberto_top/estados_all,1,1,0,0,0
CALÇA ALFAIATARIA - CV261372 (Bege concha de areia(Sandshell TC) (13-0907), M),google / organic,1,0,0,0,0
CALÇA ALFAIATARIA - CV261372 (Preto (Raven TC) (19-0000), P),facebook / cpc01_adv,1,0,1,0,0
CALÇA ALFAIATARIA - CV261372 (Verde sutil(Subtle Green TC) (14-6008), M),google / organic,1,0,0,0,0
CALÇA ALFAIATARIA - CV261372 (Verde sutil(Subtle Green TC) (14-6008), P),facebook / cpc01_adv,1,0,1,0,0
CALÇA ALFAIATARIA - CV261410.2,facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
CALÇA ALFAIATARIA - CV261410.2,facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
CALÇA ALFAIATARIA - CV261410.2,google / organic,1,0,0,0,0
CALÇA ALFAIATARIA - CV261410.2,l.instagram.com / referral,1,0,0,0,0
CALÇA ALFAIATARIA - CV261410.2 (Bege concha de areia(Sandshell TC) (13-0907), G),facebook / cpc01_adv+aberto_best_sellers+profundidade,1,1,0,0,0
CALÇA ALFAIATARIA - CV261410.2 (Bege concha de areia(Sandshell TC) (13-0907), G),google / organic,1,1,0,0,0
CALÇA ALFAIATARIA - CV261410.2 (Bege concha de areia(Sandshell TC) (13-0907), G),l.instagram.com / referral,1,2,0,0,0
CALÇA ALFAIATARIA - CV261410.2 (Preto (Raven TC) (19-0000), M),(direct) / (none),1,0,1,0,0
CALÇA ALFAIATARIA - CV261410.2 (Preto (Raven TC) (19-0000), M),google / cpc,1,0,1,1,124.979998
CALÇA ALFAIATARIA - CV261454.2,bing / organic,1,0,0,0,0
CALÇA ALFAIATARIA - CV261454.2,facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
CALÇA ALFAIATARIA - CV261454.2 (AZUL ESCURO (Black Iris TC) (19-3921), P),bing / organic,1,0,1,0,0
CALÇA ALFAIATARIA - CV261454.2 (Bege Tapioca -Tapioca TC (12-1403), G),(not set),1,1,0,0,0
CALÇA ALFAIATARIA - CV261454.2 (Bege Tapioca -Tapioca TC (12-1403), G),facebook / cpc01_adv aberto_best_sellers profundidade,1,0,0,0,0
CALÇA ALFAIATARIA - CV261454.2 (Bege Tapioca -Tapioca TC (12-1403), G),facebook / cpc01_adv+aberto_best_sellers+profundidade,1,1,0,0,0
CALÇA ALFAIATARIA - CV261454.2 (Bege Tapioca -Tapioca TC (12-1403), G),facebook / cpc01_adv+sugestões_top/estados_all,1,0,0,0,0
CALÇA ALFAIATARIA - CV261454.2 (Bege Tapioca -Tapioca TC (12-1403), G),facebook / cpc1_advantage+sugestões_all,1,0,0,0,0
CALÇA ALFAIATARIA - CV261463.2,(data not available),1,0,0,0,0
CALÇA ALFAIATARIA - CV261463.2,bing / organic,1,0,0,0,0
CALÇA ALFAIATARIA - CV261463.2,facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
CALÇA ALFAIATARIA - CV261463.2,google / organic,1,0,0,0,0
CALÇA ALFAIATARIA - CV261463.2,l.instagram.com / referral,1,0,0,0,0
CALÇA ALFAIATARIA - CV261463.2,mail.google.com / referral,1,0,0,0,0
CALÇA ALFAIATARIA - CV261463.2 (Buttercream (11-0110), G),(data not available),1,1,0,0,0
CALÇA ALFAIATARIA - CV261463.2 (Buttercream (11-0110), G),bing / organic,1,1,0,0,0
CALÇA ALFAIATARIA - CV261463.2 (Buttercream (11-0110), G),carlotacostab2c.lojavirtualnuvem.com.br / referral,1,0,0,0,0
CALÇA ALFAIATARIA - CV261463.2 (Buttercream (11-0110), G),facebook / cpc04_adv sugestões_top/estados_OUTONO/INVERNO,1,1,0,0,0
CALÇA ALFAIATARIA - CV261463.2 (Buttercream (11-0110), G),l.instagram.com / referral,1,2,0,0,0
CALÇA ALFAIATARIA - CV261463.2 (Buttercream (11-0110), G),mail.google.com / referral,1,1,0,0,0
CALÇA ALFAIATARIA - CV261463.2 (Buttercream (11-0110), M),(direct) / (none),1,0,1,0,0
CALÇA ALFAIATARIA - CV261463.2 (Buttercream (11-0110), M),edrone / email,1,0,1,0,0
CALÇA ALFAIATARIA - CV261463.2 (Buttercream (11-0110), M),facebook / cpc02_aberto_top/estados_all,1,0,1,0,0
CALÇA ALFAIATARIA - CV261463.2 (Buttercream (11-0110), P),edrone / email,1,0,1,0,0
CALÇA ALFAIATARIA COM BOLSOS CARGO - CAV250619,google / organic,1,0,0,0,0
CALÇA ALFAIATARIA COM BOLSOS CARGO - CAV250619 (BRANCO (off white) (11-0602), G),google / organic,1,1,0,0,0
CALÇA ALFAIATARIA COM DETALHE METAL BOLSO - CSI250582,(direct) / (none),1,0,0,0,0
CALÇA ALFAIATARIA COM METAL - CV250276,(direct) / (none),1,0,0,0,0
CALÇA ALFAIATARIA COM METAL - CV250276,google / cpc,1,0,0,0,0
CALÇA ALFAIATARIA COM METAL - CV250276 (Red Orange TC (17-1464), G),(direct) / (none),1,1,0,0,0
CALÇA ALFAIATARIA COM METAL - CV250276 (Red Orange TC (17-1464), G),facebook / cpc01_adv aberto_best_sellers profundidade,1,6,0,0,0
CALÇA ALFAIATARIA DE LINHO - CAV261806.2,facebook / cpc01_adv,1,0,0,0,0
CALÇA ALFAIATARIA DE LINHO - CAV261806.2,google / cpc,1,0,0,0,0
CALÇA ALFAIATARIA DE LINHO - CAV261806.2 (BEGE (Taos Taupe TC) (15-1119), G),(direct) / (none),1,0,0,0,0
CALÇA ALFAIATARIA DE LINHO - CAV261806.2 (BEGE (Taos Taupe TC) (15-1119), G),edrone / email,1,0,0,0,0
CALÇA ALFAIATARIA DE LINHO - CAV261806.2 (BEGE (Taos Taupe TC) (15-1119), G),facebook / cpc01_adv,1,1,0,0,0
CALÇA ALFAIATARIA DE LINHO - CAV261806.2 (BEGE (Taos Taupe TC) (15-1119), G),google / organic,1,0,0,0,0
CALÇA ALFAIATARIA LISA - CSV261035,(data not available),1,0,0,0,0
CALÇA ALFAIATARIA LISA - CSV261035,facebook / cpc01_adv aberto_best_sellers profundidade,1,0,0,0,0
CALÇA ALFAIATARIA LISA - CSV261035 (AZUL (Clematis Blue TC) (19-3951), G),google / cpc,1,0,1,0,0
CALÇA ALFAIATARIA LISA - CSV261035 (BRANCO (off white) (11-0602), G),(data not available),1,3,0,0,0
CALÇA ALFAIATARIA LISA - CSV261035 (BRANCO (off white) (11-0602), G),bing / organic,1,0,0,0,0
CALÇA ALFAIATARIA LISA - CSV261035 (BRANCO (off white) (11-0602), G),facebook / cpc01_adv aberto_best_sellers profundidade,1,1,0,0,0
CALÇA ALFAIATARIA LISA - CSV261035 (Preto (Raven TC) (19-0000), PP),facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,1,0,0
CALÇA ALFAIATARIA LISA - CSV261035 (Preto (Raven TC) (19-0000), PP),facebook / cpc02_aberto_top/estados_all,1,0,0,0,0
CALÇA ALFAIATARIA LISA - CSV261035 (Preto (Raven TC) (19-0000), PP),google / cpc,1,0,1,0,0
CALÇA ALFAIATARIA LISA - CSV261035 (Preto (Raven TC) (19-0000), PP),google / organic,1,0,1,0,0
CALÇA AMARRAÇÃO - CAV261554.2 (BRANCO (off white) (11-0602), G),facebook / cpc01_adv,1,0,0,0,0
CALÇA AMARRAÇÃO - CAV261554.2 (BRANCO (off white) (11-0602), G),google / cpc,1,0,0,0,0
CALÇA AMARRAÇÃO - CV261409.2,facebook / cpc02_aberto_top/estados_all,1,0,0,0,0
CALÇA AMARRAÇÃO - CV261409.2,google / cpc,1,0,0,0,0
CALÇA AMARRAÇÃO - CV261409.2 (VERDE (Bronze Green TC) (18-0317), G),(direct) / (none),1,0,0,0,0
CALÇA AMARRAÇÃO - CV261409.2 (VERDE (Bronze Green TC) (18-0317), G),facebook / cpc02_aberto_top/estados_all,1,1,0,0,0
CALÇA BALOON (CV261385) - CV261391.2,(direct) / (none),1,0,0,0,0
CALÇA BALOON (CV261385) - CV261391.2,edrone / email,1,0,0,0,0
CALÇA BALOON (CV261385) - CV261391.2,facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
CALÇA BALOON (CV261385) - CV261391.2,facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
CALÇA BALOON (CV261385) - CV261391.2,facebook / cpc04_adv sugestões_top/estados_OUTONO/INVERNO,1,0,0,0,0
CALÇA BALOON (CV261385) - CV261391.2,google / cpc,1,0,0,0,0
CALÇA BALOON (CV261385) - CV261391.2,mail.google.com / referral,1,0,0,0,0
CALÇA BALOON (CV261385) - CV261391.2 (VERMELHO FLAMEJANTE  (Fiery Red TC) (18-1664), G),bing / organic,1,1,0,0,0
CALÇA BALOON (CV261385) - CV261391.2 (VERMELHO FLAMEJANTE  (Fiery Red TC) (18-1664), G),facebook / cpc04_adv sugestões_top/estados_OUTONO/INVERNO,1,1,0,0,0
CALÇA BALOON (CV261385) - CV261391.2 (VERMELHO FLAMEJANTE  (Fiery Red TC) (18-1664), G),facebook / cpc1_advantage+sugestões_all,1,1,0,0,0
CALÇA BALOON (CV261385) - CV261391.2 (VERMELHO FLAMEJANTE  (Fiery Red TC) (18-1664), G),google / organic,1,2,0,0,0
CALÇA BALOON (CV261385) - CV261391.2 (VERMELHO FLAMEJANTE  (Fiery Red TC) (18-1664), M),(direct) / (none),1,0,2,0,0
CALÇA BALOON (CV261385) - CV261391.2 (VERMELHO FLAMEJANTE  (Fiery Red TC) (18-1664), M),facebook / cpc01_adv,1,0,0,0,0
CALÇA BALOON (CV261385) - CV261391.2 (VERMELHO FLAMEJANTE  (Fiery Red TC) (18-1664), M),facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
CALÇA BARRADA - CSI250757,edrone / email,1,0,0,0,0
CALÇA BARRADA - CSI250757,facebook / cpc02_aberto_top/estados_all,1,0,0,0,0
CALÇA BARRADA - CSI250757 (SI25BR001 PAISLEY (CC0067-E), G),(data not available),1,0,0,0,0
CALÇA BARRADA - CSI250757 (SI25BR001 PAISLEY (CC0067-E), G),edrone / email,1,1,0,0,0
CALÇA BARRADA - CSI250757 (SI25BR001 PAISLEY (CC0067-E), G),facebook / cpc02_aberto_top/estados_all,1,1,0,0,0
CALÇA BARRADA - CSI250757 (SI25BR001 PAISLEY (CC0067-E), G),facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,1,0,0,0,0
CALÇA BARRADA - CSI250757 (SI25BR001 PAISLEY (CC0067-E), PP),facebook / cpc02_aberto_top/estados_all,1,0,1,0,0
