Nome do item,Origem / mídia da sessão,Sessões,Itens vistos,Itens adicionados ao carrinho,Itens comprados,Receita do item
MACACÃO ALFAIATRIA COM LAPELA - CSI250684 (Gray Sand TC (13-1010), G),(direct) / (none),386,43,0,0,0
CALÇA ALFAIATARIA - CSI250607 (BEGE (Bleached Sand TC) (13-1008), G),google / cpc,385,29,0,0,0
VESTIDO RETO COM GOLA - CSI250653 (PRETO (Raven TC), G),google / cpc,375,85,3,0,0
BLUSA GOLA ALTA - CRI250048 (Moon Rock TC (17-1210), G),(direct) / (none),372,57,4,1,56.799998
VESTIDO TOMARA QUE CAIA BALONÊ - CI262069 (BEGE (Seedpearl TC) (12-0703), G),INSTAGRAM / LINKTREE,371,14,0,0,0
SAIA CARGO LONGA - CSI250616 (BEGE (Tan TC) (16-1334), G),google / cpc,360,21,0,0,0
COORDENADO CAMISA E CALÇA - CI251042 (BEGE(Sandshell TC), G),google / cpc,359,68,0,0,0
VESTIDO MIDI COM FENDA - CI262057 (MARROM (TCX Sinopia Fresco (17-1317), G),google / cpc,353,7,0,0,0
BLUSA COM RENDA - CI250850 (PRETO (Raven TC), G),facebook / cpc01_adv,350,78,11,1,82.779998
VESTIDO CURTO MANGA LONGA RETILÍNEA - CRI250044 (NUDE (Toasted Almond TC) (14-1213), G),(direct) / (none),349,31,0,0,0
CALÇA WIDE AMASSADA - CSI250597 (AZUL (Bijou Blue TC) (18-3921), G),(direct) / (none),346,57,0,0,0
VESTIDO FLÚIDO BABADOS - CAV261603 (AMARELO (Dandelion TC) (13-0758), G),google / cpc,336,78,0,0,0
VESTIDO CURTO COM AMARRAÇÃO - CI261898 (CI26R010 SNAKE V7 ALT1 - NEO DS STD (CC0147-E), G),facebook / cpc01_adv,330,7,0,0,0
VESTIDO BALONE VELUDO - CI262044 (PRETO (Raven TC) (19-0000), G),facebook / cpc01_adv,328,1,0,0,0
VESTIDO TOMARA QUE CAIA (CI261858.1) - CI261825 (VERMELHO (High Risk Red TC) (18-1763), G),facebook / cpc01_adv,327,2,0,0,0
BLUSA MANGA LONGA COM BOTÕES - CSI250580 (SI25R001 ONÇA PRINT (CC0066-E), G),facebook / cpc03_interesses_top/estados_all,326,21,0,0,0
VESTIDO RECORTES COM CINTO - CI261869 (MARROM (Rawhide TC (18-1137), G),facebook / cpc01_adv,325,7,0,0,0
MACACÃO LONGO COM FAIXA - CSI250594 (MARROM (Marsala TC, PP),(direct) / (none),324,0,0,0,0
COORDENADO BLAZER E SAIA - CI251029 (CINZA (Gargoyle TC), G),edrone / email,320,47,0,0,0
SAIA MIDI - CSI250630 (MARROM (Rooibos Tea TCX) (18-1355), G),INSTAGRAM / LINKTREE,320,7,0,0,0
VESTIDO DETALHE OMBRO - CSI250673 (Preto (Raven TC) (19-0000), G),google / cpc,317,43,0,0,0
VESTIDO COURO COM DETALHES DE RENDA - CI261923 (BEGE (Curds Whey) (16-0920), G),facebook / cpc01_adv,313,0,0,0,0
BLUSA GOLA ALTA E MANGA BUFANTE - CI250806 (CI25R004 ANIMAL PRINT (CC0105-E), G),google / cpc,312,22,0,0,0
VESTIDO CURTO RETO - CI261945 (BEGE (Jet Stream) (11-0605), G),facebook / cpc01_adv,312,0,0,0,0
VESTIDO BALONE VELUDO - CI262044 (PRETO (Raven TC) (19-0000), G),facebook / cpc03_interesses_top/estados_all,310,2,0,0,0
VESTIDO CURTO COM AMARRAÇÃO - CI261898 (CI26R010 SNAKE V7 ALT1 - NEO DS STD (CC0147-E), G),facebook / cpc03_interesses_top/estados_all,310,2,0,0,0
BLUSA GOLA ALTA - CRI250048 (Moon Rock TC (17-1210), G),facebook / cpc01_adv,308,48,2,0,0
VESTIDO TOMARA QUE CAIA (CI261858.1) - CI261825 (VERMELHO (High Risk Red TC) (18-1763), G),facebook / cpc03_interesses_top/estados_all,303,2,0,0,0
VESTIDO RECORTES COM CINTO - CI261869 (MARROM (Rawhide TC (18-1137), G),facebook / cpc03_interesses_top/estados_all,301,4,0,0,0
MACACÃO ALFAIATRIA COM LAPELA - CSI250684 (Gray Sand TC (13-1010), G),facebook / cpc01_adv,300,23,0,0,0
COORDENADO BLUSA E CALÇA - CSI250850 (PRETO (Raven TC), G),google / cpc,298,98,4,0,0
SAIA MIDI - CSI250630 (MARROM (Rooibos Tea TCX) (18-1355), G),edrone / email,295,15,0,0,0
